Category;Column name;Description;;
;International_aviation;Whether the end target covers international shipping i.e. ships coming to / leaving the country. [Yes, No, Not specified];;
;International_shipping;Whether the end target covers international aviation i.e. flights coming to / leaving the country. [Yes, No, Not specified];;
;Historical_emissions;Whether the end target scope includes a goal to neutralise all historical emissions ever emitted by the entity.;;
Contextual data;Race_to_zero_member;Whether the entity is a member of the Race to Zero campain [Yes / No];;
;GDP;"The entity's Gross Domestic Product (GDP) in Purchasing Power Parity (PPP) — 2021 USD for countries; 2017 USD for regions and cities (where available).";;
;GDP_year;The corresponding year of the GDP variable.;;
;Population;The population of the entity (for countries, regions, or cities).;;
;Population_year;The corresponding year of the Population variable.;;
;Company_annual_revenue;The total revenue generated by the entity in the most recent recorded year.;;
;Industry;"The broad industry classification of the entity [Apparel; Biotech, Health Care & Pharma; Food, Beverage & Agriculture; Fossil Fuels; Hospitality; Infrastructure; Manufacturing; Materials; Power Generation; Retail; Services; Transportation Services]";;
;Employees;The number of employees working for the company.;;
;GHG_emissions;The total greenhouse gas (GHG) emissions of the entity in GHG equivalent. For countries, this *includes* emissions from land use, land use change and forestry (LULUCF).;;
;GHG_emissions_year;The corresponding year of the GHG emissions variable.;;
;GHG_emissions_source;The source of the GHG emissions figure e.g. World Bank, Climate Watch,  EDGAR;;
Additional target data;End_target_intensity_unit;The unit used to express the emissions intensity of the end target (e.g. tCO₂e per GDP).;;
;End_target_baseyear_emissions;The emissions level in the baseline year for the end target.;;
;End_target_target_emissions;The expected emissions level in the target year.;;
;End_target_bau_emissions;The projected emissions level in the target year under a business-as-usual scenario.;;
;End_target_other;Description of other end target.;;
;Interim_target_intensity_unit;The unit used to express emissions intensity for the interim target.;;
;Interim_target_baseyear_emissions;The emissions level in the baseline year for the interim target.;;
;Interim_target_target_emissions;The expected emissions level in the interim target year.;;
;Interim_target_bau_emissions;The projected emissions level in the interim target year under a business-as-usual scenario.;;
;Interim_target_other;Description of other interim target.;;
